Treatment ,ID,Week,Cercs,Schisto inf,Schisto fact,Meta inf,Meta fact,Total inf,Total fact,Metas
S,S1,1,0,0,ap,NA,ap,NA,ap,NA
S,S2,1,11,1,p,NA,ap,NA,ones,NA
S,S3,1,NA,0,ap,NA,ap,NA,ap,NA
S,S4,1,0,0,ap,NA,ap,NA,ap,NA
S,S5,1,NA,0,ap,NA,ap,NA,ap,NA
S,S6,1,0,0,ap,NA,ap,NA,ap,NA
S,S7,1,64,1,p,NA,ap,NA,ones,NA
S,S8,1,NA,0,ap,NA,ap,NA,ap,NA
S,S9,1,0,1,p,NA,ap,NA,ones,NA
S,S10,1,0,0,ap,NA,ap,NA,ap,NA
S,S11,1,118,1,p,NA,ap,NA,ones,NA
S,S12,1,28,1,p,NA,ap,NA,ones,NA
S,S13,1,NA,0,ap,NA,ap,NA,ap,NA
S,S14,1,0,0,ap,NA,ap,NA,ap,NA
S,S15,1,16,1,p,NA,ap,NA,ones,NA
S,S16,1,17,1,p,NA,ap,NA,ones,NA
S,S17,1,0,0,ap,NA,ap,NA,ap,NA
S,S18,1,0,1,p,NA,ap,NA,ones,NA
S,S19,1,0,0,ap,NA,ap,NA,ap,NA
S,S20,1,0,0,ap,NA,ap,NA,ap,NA
S,S21,1,7,1,p,NA,ap,NA,ones,NA
S,S22,1,20,1,p,NA,ap,NA,ones,NA
S,S23,1,2,1,p,NA,ap,NA,ones,NA
S,S24,1,53,1,p,NA,ap,NA,ones,NA
S,S25,1,NA,0,ap,NA,ap,NA,ap,NA
S,S26,1,23,1,p,NA,ap,NA,ones,NA
S,S27,1,5,1,p,NA,ap,NA,ones,NA
S,S28,1,0,1,p,NA,ap,NA,ones,NA
S,S29,1,NA,0,ap,NA,ap,NA,ap,NA
S,S30,1,NA,0,ap,NA,ap,NA,ap,NA
S,S31,1,0,1,p,NA,ap,NA,ones,NA
S,S32,1,0,0,ap,NA,ap,NA,ap,NA
S,S33,1,0,0,ap,NA,ap,NA,ap,NA
S,S34,1,1,1,p,NA,ap,NA,ones,NA
S,S35,1,0,0,ap,NA,ap,NA,ap,NA
S,S36,1,0,0,ap,NA,ap,NA,ap,NA
S,S37,1,0,0,ap,NA,ap,NA,ap,NA
S,S38,1,22,1,p,NA,ap,NA,ones,NA
S,S39,1,NA,0,ap,NA,ap,NA,ap,NA
S,S40,1,0,0,ap,NA,ap,NA,ap,NA
S,S1,2,0,0,ap,NA,ap,NA,ap,NA
S,S2,2,164,1,p,NA,ap,NA,ones,NA
S,S3,2,NA,0,ap,NA,ap,NA,ap,NA
S,S4,2,0,0,ap,NA,ap,NA,ap,NA
S,S5,2,NA,0,ap,NA,ap,NA,ap,NA
S,S6,2,NA,0,ap,NA,ap,NA,ap,NA
S,S7,2,197,1,p,NA,ap,NA,ones,NA
S,S8,2,NA,0,ap,NA,ap,NA,ap,NA
S,S9,2,89,1,p,NA,ap,NA,ones,NA
S,S10,2,0,0,ap,NA,ap,NA,ap,NA
S,S11,2,363,1,p,NA,ap,NA,ones,NA
S,S12,2,182,1,p,NA,ap,NA,ones,NA
S,S13,2,NA,0,ap,NA,ap,NA,ap,NA
S,S14,2,0,0,ap,NA,ap,NA,ap,NA
S,S15,2,184,1,p,NA,ap,NA,ones,NA
S,S16,2,240,1,p,NA,ap,NA,ones,NA
S,S17,2,0,0,ap,NA,ap,NA,ap,NA
S,S18,2,139,1,p,NA,ap,NA,ones,NA
S,S19,2,0,0,ap,NA,ap,NA,ap,NA
S,S20,2,0,0,ap,NA,ap,NA,ap,NA
S,S21,2,140,1,p,NA,ap,NA,ones,NA
S,S22,2,159,1,p,NA,ap,NA,ones,NA
S,S23,2,61,1,p,NA,ap,NA,ones,NA
S,S24,2,312,1,p,NA,ap,NA,ones,NA
S,S25,2,NA,0,ap,NA,ap,NA,ap,NA
S,S26,2,176,1,p,NA,ap,NA,ones,NA
S,S27,2,182,1,p,NA,ap,NA,ones,NA
S,S28,2,74,1,p,NA,ap,NA,ones,NA
S,S29,2,NA,0,ap,NA,ap,NA,ap,NA
S,S30,2,NA,0,ap,NA,ap,NA,ap,NA
S,S31,2,143,1,p,NA,ap,NA,ones,NA
S,S32,2,0,0,ap,NA,ap,NA,ap,NA
S,S33,2,0,0,ap,NA,ap,NA,ap,NA
S,S34,2,253,1,p,NA,ap,NA,ones,NA
