Treatment,ID,Status,Time from start,Time from meta exposure,Time from schisto,Schisto inf.,Schisto fact,Meta inf.,Meta fact,Total inf.,Total fact,Metas
C,C1,1,74,NA,NA,NA,ap,NA,ap,NA,ap,NA
C,C2,1,74,NA,NA,NA,ap,NA,ap,NA,ap,NA
C,C3,1,74,NA,NA,NA,ap,NA,ap,NA,ap,NA
C,C4,1,74,NA,NA,NA,ap,NA,ap,NA,ap,NA
C,C5,2,74,NA,NA,NA,ap,NA,ap,NA,ap,NA
C,C6,1,74,NA,NA,NA,ap,NA,ap,NA,ap,NA
C,C7,2,67,NA,NA,NA,ap,NA,ap,NA,ap,NA
C,C8,1,74,NA,NA,NA,ap,NA,ap,NA,ap,NA
C,C9,1,74,NA,NA,NA,ap,NA,ap,NA,ap,NA
C,C10,1,74,NA,NA,NA,ap,NA,ap,NA,ap,NA
C,C11,1,74,NA,NA,NA,ap,NA,ap,NA,ap,NA
C,C12,1,74,NA,NA,NA,ap,NA,ap,NA,ap,NA
C,C13,1,74,NA,NA,NA,ap,NA,ap,NA,ap,NA
C,C14,1,74,NA,NA,NA,ap,NA,ap,NA,ap,NA
C,C15,1,74,NA,NA,NA,ap,NA,ap,NA,ap,NA
C,C16,1,74,NA,NA,NA,ap,NA,ap,NA,ap,NA
C,C17,1,74,NA,NA,NA,ap,NA,ap,NA,ap,NA
C,C18,2,49,NA,NA,NA,ap,NA,ap,NA,ap,NA
C,C19,1,74,NA,NA,NA,ap,NA,ap,NA,ap,NA
C,C20,1,74,NA,NA,NA,ap,NA,ap,NA,ap,NA
E1,E1.1,2,10,10,NA,NA,ap,1,p,NA,onem,3
E1,E1.2,2,7,7,NA,NA,ap,1,p,NA,onem,5
E1,E1.3,1,74,74,NA,NA,ap,1,p,NA,onem,3
E1,E1.4,2,5,5,NA,NA,ap,1,p,NA,onem,6
E1,E1.5,1,74,74,NA,NA,ap,1,p,NA,onem,4
E1,E1.6,1,74,74,NA,NA,ap,1,p,NA,onem,1
E1,E1.7,2,37,37,NA,NA,ap,1,p,NA,onem,2
