Group,ID,Week,Eggs,Schisto.Inf,Schisto.fact,Meta.inf,Meta.fact,Total.inf,Total.fact,Metas
Control,C1,1,0,NA,ap,NA,ap,NA,ap,NA
Control,C2,1,6,NA,ap,NA,ap,NA,ap,NA
Control,C3,1,12,NA,ap,NA,ap,NA,ap,NA
Control,C4,1,1,NA,ap,NA,ap,NA,ap,NA
Control,C5,1,3,NA,ap,NA,ap,NA,ap,NA
Control,C6,1,3,NA,ap,NA,ap,NA,ap,NA
Control,C7,1,7,NA,ap,NA,ap,NA,ap,NA
Control,C8,1,5,NA,ap,NA,ap,NA,ap,NA
Control,C9,1,9,NA,ap,NA,ap,NA,ap,NA
Control,C10,1,0,NA,ap,NA,ap,NA,ap,NA
Control,C11,1,9,NA,ap,NA,ap,NA,ap,NA
Control,C12,1,6,NA,ap,NA,ap,NA,ap,NA
Control,C13,1,1,NA,ap,NA,ap,NA,ap,NA
Control,C14,1,7,NA,ap,NA,ap,NA,ap,NA
Control,C15,1,11,NA,ap,NA,ap,NA,ap,NA
Control,C16,1,1,NA,ap,NA,ap,NA,ap,NA
Control,C17,1,1,NA,ap,NA,ap,NA,ap,NA
Control,C18,1,0,NA,ap,NA,ap,NA,ap,NA
Control,C19,1,4,NA,ap,NA,ap,NA,ap,NA
Control,C20,1,7,NA,ap,NA,ap,NA,ap,NA
Control,C1,2,0,NA,ap,NA,ap,NA,ap,NA
Control,C2,2,2,NA,ap,NA,ap,NA,ap,NA
Control,C3,2,8,NA,ap,NA,ap,NA,ap,NA
Control,C4,2,0,NA,ap,NA,ap,NA,ap,NA
Control,C5,2,NA,NA,ap,NA,ap,NA,ap,NA
Control,C6,2,0,NA,ap,NA,ap,NA,ap,NA
Control,C7,2,5,NA,ap,NA,ap,NA,ap,NA
Control,C8,2,3,NA,ap,NA,ap,NA,ap,NA
Control,C9,2,6,NA,ap,NA,ap,NA,ap,NA
Control,C10,2,2,NA,ap,NA,ap,NA,ap,NA
Control,C11,2,5,NA,ap,NA,ap,NA,ap,NA
Control,C12,2,2,NA,ap,NA,ap,NA,ap,NA
Control,C13,2,0,NA,ap,NA,ap,NA,ap,NA
Control,C14,2,2,NA,ap,NA,ap,NA,ap,NA
Control,C15,2,5,NA,ap,NA,ap,NA,ap,NA
Control,C16,2,2,NA,ap,NA,ap,NA,ap,NA
Control,C17,2,1,NA,ap,NA,ap,NA,ap,NA
Control,C18,2,0,NA,ap,NA,ap,NA,ap,NA
Control,C19,2,4,NA,ap,NA,ap,NA,ap,NA
Control,C20,2,4,NA,ap,NA,ap,NA,ap,NA
Control,C1,3,0,NA,ap,NA,ap,NA,ap,NA
Control,C2,3,6,NA,ap,NA,ap,NA,ap,NA
Control,C3,3,6,NA,ap,NA,ap,NA,ap,NA
Control,C4,3,3,NA,ap,NA,ap,NA,ap,NA
Control,C5,3,NA,NA,ap,NA,ap,NA,ap,NA
Control,C6,3,0,NA,ap,NA,ap,NA,ap,NA
Control,C7,3,9,NA,ap,NA,ap,NA,ap,NA
Control,C8,3,6,NA,ap,NA,ap,NA,ap,NA
Control,C9,3,6,NA,ap,NA,ap,NA,ap,NA
Control,C10,3,2,NA,ap,NA,ap,NA,ap,NA
Control,C11,3,8,NA,ap,NA,ap,NA,ap,NA
Control,C12,3,12,NA,ap,NA,ap,NA,ap,NA
Control,C13,3,0,NA,ap,NA,ap,NA,ap,NA
Control,C14,3,5,NA,ap,NA,ap,NA,ap,NA
Control,C15,3,7,NA,ap,NA,ap,NA,ap,NA
Control,C16,3,2,NA,ap,NA,ap,NA,ap,NA
Control,C17,3,3,NA,ap,NA,ap,NA,ap,NA
Control,C18,3,0,NA,ap,NA,ap,NA,ap,NA
Control,C19,3,5,NA,ap,NA,ap,NA,ap,NA
Control,C20,3,2,NA,ap,NA,ap,NA,ap,NA
Control,C1,4,0,NA,ap,NA,ap,NA,ap,NA
Control,C2,4,5,NA,ap,NA,ap,NA,ap,NA
Control,C3,4,8,NA,ap,NA,ap,NA,ap,NA
Control,C4,4,0,NA,ap,NA,ap,NA,ap,NA
Control,C5,4,NA,NA,ap,NA,ap,NA,ap,NA
Control,C6,4,0,NA,ap,NA,ap,NA,ap,NA
Control,C7,4,6,NA,ap,NA,ap,NA,ap,NA
Control,C8,4,5,NA,ap,NA,ap,NA,ap,NA
Control,C9,4,8,NA,ap,NA,ap,NA,ap,NA
Control,C10,4,6,NA,ap,NA,ap,NA,ap,NA
Control,C11,4,6,NA,ap,NA,ap,NA,ap,NA
Control,C12,4,2,NA,ap,NA,ap,NA,ap,NA
Control,C13,4,0,NA,ap,NA,ap,NA,ap,NA
Control,C14,4,5,NA,ap,NA,ap,NA,ap,NA
Control,C15,4,7,NA,ap,NA,ap,NA,ap,NA
Control,C16,4,5,NA,ap,NA,ap,NA,ap,NA
Control,C17,4,5,NA,ap,NA,ap,NA,ap,NA
Control,C18,4,0,NA,ap,NA,ap,NA,ap,NA
Control,C19,4,5,NA,ap,NA,ap,NA,ap,NA
Control,C20,4,5,NA,ap,NA,ap,NA,ap,NA
Control,C1,5,4,NA,ap,NA,ap,NA,ap,NA
Control,C2,5,7,NA,ap,NA,ap,NA,ap,NA
Control,C3,5,7,NA,ap,NA,ap,NA,ap,NA
Control,C4,5,0,NA,ap,NA,ap,NA,ap,NA
Control,C5,5,NA,NA,ap,NA,ap,NA,ap,NA
Control,C6,5,1,NA,ap,NA,ap,NA,ap,NA
Control,C7,5,8,NA,ap,NA,ap,NA,ap,NA
Control,C8,5,9,NA,ap,NA,ap,NA,ap,NA
